22:42:50.805 HWUI                         Davey! duration=3977ms; Flags=1, FrameTimelineVsyncId=13671, IntendedVsync=105955071076, Vsync=106005071074, InputEventId=0, HandleInputStart=106005885323, AnimationStart=106005888629, PerformTraversalsStart=106005892282, DrawStart=109690750955, FrameDeadline=105971737742, FrameStartTime=106005847774, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=109711741955, SyncStart=109768404898, IssueDrawCommandsStart=109768638461, SwapBuffers=109934387067, FrameCompleted=109989593923, DequeueBufferDuration=8283, QueueBufferDuration=315088, GpuCompleted=109989593923, SwapBuffersCompleted=109978937522, DisplayPresentTime=0, CommandSubmissionCompleted=109934387067, 
22:42:51.119 om.example.taxi              Background concurrent mark compact GC freed 9816KB AllocSpace bytes, 78(2032KB) LOS objects, 49% free, 6654KB/12MB, paused 46.098ms,7.515ms total 1.137s
22:42:51.298 SessionLifecycleClient       Connected to SessionLifecycleService. Queue size 1
22:42:51.300 SessionLifecycleClient       Sending lifecycle 1 to service
22:42:51.300 MainActivity                 Application startup: Initialization complete
22:42:51.302 SessionLifecycleService      Activity foregrounding at 110511.
22:42:51.302 SessionLifecycleService      Cold start detected.
22:42:51.303 AnalyticsManager             Logged event: app_open with params: {}
22:42:51.306 AnalyticsManager             Set user ID: 0bcn9Z5endM7OfZqIryUswAGJM93
22:42:51.307 SessionLifecycleService      Generated new session.
22:42:51.308 SessionLifecycleService      Broadcasting new session
22:42:51.312 SessionFirelogPublisher      Data Collection is enabled for at least one Subscriber
22:42:51.326 AppNavigation                Navigation: Checking user login status
22:42:51.336 NavHostManager               User Flow: Existing user 0bcn9Z5endM7OfZqIryUswAGJM93 detected, skipping login
22:42:51.338 SafeNavigation               Current back stack routes: [login]
22:42:51.392 SafeNavigation               Safe navigate to home with popUpTo login successful
22:42:51.408 LoginScreen                  UI: Initializing Login Screen
22:42:51.414 LoginScreen                  UI: Setting up keyboard visibility listener
22:42:51.415 LoginScreen                  UI: Setting up edge-to-edge display
22:42:51.416 LoginScreen                  UI: Setting up initial animations
22:42:51.427 LoginScreen                  User Flow: Login successful, proceeding to permission flow
22:42:51.527 CompatChangeReporter         Compat change id reported: 63938206; UID 10217; state: ENABLED
22:42:51.559 AnalyticsManager             Set user ID: 0bcn9Z5endM7OfZqIryUswAGJM93
22:42:51.566 AnalyticsManager             Logged event: registration_completed with params: {}
22:42:51.571 LocationService              Setting user info: userId=0bcn9Z5endM7OfZqIryUswAGJM93, userType=passenger, destination=town
22:42:51.574 Choreographer                Skipped 283 frames!  The application may be doing too much work on its main thread.
22:42:51.608 LocationService              Firebase reference updated: passengers/town/0bcn9Z5endM7OfZqIryUswAGJM93
22:42:51.608 LocationServiceManager       Basic services prepared for post-registration
22:42:51.775 AnalyticsManager             Logged event: screen_view with params: {screen_name=Home Screen, screen_class=home}
22:42:51.789 AppNavigation                Navigation: User at Home Screen
22:42:52.053 EventGDTLogger               Session Event Type: SESSION_START
22:42:52.054 SessionFirelogPublisher      Successfully logged Session Start event.
22:42:52.127 System                       Ignoring header X-Firebase-Locale because its value was null.
22:42:52.134 System                       Ignoring header X-Firebase-Locale because its value was null.
22:42:52.427 SessionLifecycleClient       Session update received.
22:42:52.436 HWUI                         Davey! duration=5568ms; Flags=1, FrameTimelineVsyncId=13694, IntendedVsync=106055071072, Vsync=110771737550, InputEventId=0, HandleInputStart=110791463862, AnimationStart=110791468498, PerformTraversalsStart=111002516033, DrawStart=111206506442, FrameDeadline=106071737738, FrameStartTime=110785820092, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=111214443915, SyncStart=111219474230, IssueDrawCommandsStart=111219942152, SwapBuffers=111623817690, FrameCompleted=111628330871, DequeueBufferDuration=5430, QueueBufferDuration=461170, GpuCompleted=111628246800, SwapBuffersCompleted=111628330871, DisplayPresentTime=18476949311693, CommandSubmissionCompleted=111623817690, 
22:42:52.444 Choreographer                Skipped 51 frames!  The application may be doing too much work on its main thread.
22:42:52.489 ProfileInstaller             Installing profile for com.example.taxi
22:42:52.567 HomeViewModel                User logged in status: true
22:42:52.570 UserPreferencesRepository    Retrieved last selected role: passenger
22:42:52.588 SessionLifecycleClient       Notified CRASHLYTICS of new session c94c7aed13334776bdb03ef70e3c2081
22:42:53.186 HWUI                         Image decoding logging dropped!
22:42:53.218 HWUI                         Image decoding logging dropped!
22:42:53.575 HomeScreen                   User Flow: User viewing home screen with role selection
